Processes: 387 total, 3 running, 384 sleeping, 2586 threads 
2020/09/09 10:04:07
Load Avg: 2.41, 2.65, 2.77 
CPU usage: 6.84% user, 12.70% sys, 80.45% idle 
SharedLibs: 135M resident, 40M data, 16M linkedit.
MemRegions: 144043 total, 2227M resident, 53M private, 850M shared.
PhysMem: 8140M used (1677M wired), 50M unused.
VM: 1869G vsize, 1883M framework vsize, 29651980(0) swapins, 30319546(0) swapouts.
Networks: packets: 4338384/2599M in, 3143144/1589M out.
Disks: 6390050/212G read, 3316156/147G written.

PID    COMMAND          %CPU TIME     #TH   #WQ #PORTS MEM   PURG  CMPRS PGRP  PPID  STATE    BOOSTS     %CPU_ME %CPU_OTHRS UID FAULTS    COW    MSGSENT   MSGRECV   SYSBSD   SYSMACH   CSW       PAGEINS IDLEW   POWER INSTRS CYCLES USER               #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
34549  cdpd             0.0  00:00.02 2     1   41     1428K 0B    1412K 34549 1     sleeping *0[3]      0.00000 0.00000    502 1569      159    182       55        592      388       253       31      1       0.0   0      0      wadkan             N/A    N/A   N/A   N/A   N/A   N/A  
34548  networkservicepr 0.0  00:00.07 2     1   53     4272K 0B    4244K 34548 1     sleeping  0[0]      0.00000 0.00000    502 2636      186    183       56        1000     441       873       138     0       0.0   0      0      wadkan             N/A    N/A   N/A   N/A   N/A   N/A  
34546  EscrowSecurityAl 0.0  00:00.04 2     1   50     1548K 0B    1532K 34546 1     sleeping  0[0]      0.00000 0.00000    502 2759      177    152       44        887      351       426       79      0       0.0   0      0      wadkan             N/A    N/A   N/A   N/A   N/A   N/A  
34545  mobileactivation 0.0  00:00.03 2     1   50     2668K 0B    2652K 34545 1     sleeping  0[0]      0.00000 0.00000    0   1230      131    106       46        527      283       275       15      0       0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
34542  assistantd       0.0  00:00.23 2     1   127    6124K 0B    6096K 34542 1     sleeping *0[2]      0.00000 0.00000    502 5760      416    533       134       2941     1148      2086      1303    3       0.0   0      0      wadkan             N/A    N/A   N/A   N/A   N/A   N/A  
34541  lskdd            0.0  00:00.08 3     1   43     2668K 0B    2612K 34541 1     sleeping  0[0]      0.00000 0.00000    265 1344      126    1070      522       1030     769       967       107     272     0.0   0      0      _fpsd              N/A    N/A   N/A   N/A   N/A   N/A  
34540  devicecheckd     0.0  00:00.01 2     1   48     936K  0B    916K  34540 1     sleeping  0[0]      0.00000 0.00000    502 910       126    140       44        481      331       186       22      0       0.0   0      0      wadkan             N/A    N/A   N/A   N/A   N/A   N/A  
34528  fmfd             0.0  00:00.31 3     1   109    7424K 0B    6100K 34528 1     sleeping *0[6]      0.00000 0.00000    502 7438      337    1174      307       6046     2035      3056      315     148     0.0   0      0      wadkan             N/A    N/A   N/A   N/A   N/A   N/A  
34526  adprivacyd       0.0  00:00.27 3     1   83     4732K 0B    4404K 34526 1     sleeping *0[4]      0.00000 0.00000    502 5568      243    644       172       4070     1331      2782      447     134     0.0   0      0      wadkan             N/A    N/A   N/A   N/A   N/A   N/A  
34500  AMPArtworkAgent  0.0  00:00.08 2     1   40     2268K 0B    1160K 34500 1     sleeping *0[1]      0.00000 0.00000    502 3962      233    478       128       2529     846       611       140     4       0.0   0      0      wadkan             N/A    N/A   N/A   N/A   N/A   N/A  
34481  rtcreportingd    0.0  00:00.24 2     1   47     4228K 0B    3912K 34481 1     sleeping *0[1]      0.00000 0.00000    0   4998      204    258       78        3884     537       1687      4200    154     0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
34474  netbiosd         0.0  00:00.05 2     1   23     2916K 0B    2904K 34474 1     sleeping *0[1]      0.00000 0.00000    222 1794      165    114       34        882      225       366       56      9       0.0   0      0      _netbios           N/A    N/A   N/A   N/A   N/A   N/A  
34472  aslmanager       0.0  00:00.03 2     1   18     896K  0B    884K  34472 1     sleeping *0[1]      0.00000 0.00000    0   573       79     71        34        793      158       300       7       5       0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
34352  VTDecoderXPCServ 0.0  00:08.74 2     1   64     9664K 0B    9376K 34352 1     sleeping *0[21]     0.00000 0.00000    502 72458     221    15397     6234      3715     10731     24085     810     5       0.0   0      0      wadkan             N/A    N/A   N/A   N/A   N/A   N/A  
33315  usbd             0.0  00:03.32 2     1   58     2812K 0B    2420K 33315 1     sleeping  0[0]      0.00000 0.00000    0   3890      153    114008    68282     29675    220670    32353     36      15      0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
33314  com.apple.ifdrea 0.0  00:00.03 2     1   31     996K  0B    988K  33314 1     sleeping *0[12]     0.00000 0.00000    0   1948      133    927       410       756      1010      239       16      1       0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
33236  Discord Helper   0.0  00:01.17 9     1   124    7912K 0B    7040K 33220 33220 sleeping *0[1]      0.00000 0.00000    502 11845     1421   20496     1531      11452    50450     34822     399     1049    0.0   0      0      wadkan             N/A    N/A   N/A   N/A   N/A   N/A  
33227  Discord Helper ( 0.0  17:25.19 48/1  4   435    175M  0B    74M   33220 33220 running  *0[213]    0.00000 0.00000    502 1230096   12678  2835990   496258    8494017  14758577  8946309   9731    1436245 0.0   0      0      wadkan             N/A    N/A   N/A   N/A   N/A   N/A  
33226  crashpad_handler 0.0  00:00.02 4     1   27     1160K 0B    1144K 33225 1     sleeping *0[1]      0.00000 0.00000    502 1709      195    43        18        510      119       651       66      4       0.0   0      0      wadkan             N/A    N/A   N/A   N/A   N/A   N/A  
33224  VTDecoderXPCServ 0.0  00:00.10 2     1   52     3628K 0B    3356K 33224 1     sleeping *0[6]      0.00000 0.00000    502 3327      182    23433     9555      965      14651     709       2       11      0.0   0      0      wadkan             N/A    N/A   N/A   N/A   N/A   N/A  
33222  Discord Helper   0.0  00:02.89 7     1   97     12M   0B    9764K 33220 33220 sleeping *0[1]      0.00000 0.00000    502 26147     1407   17893     12902     61284    33683     46789     1125    866     0.0   0      0      wadkan             N/A    N/A   N/A   N/A   N/A   N/A  
33221  Discord Helper ( 0.0  01:38.20 9     1   166    124M  0B    42M   33220 33220 sleeping *0[1]      0.00000 0.00000    502 159579    1511   990135    489237    670106   2216337   1155352   1949    135198  0.0   0      0      wadkan             N/A    N/A   N/A   N/A   N/A   N/A  
33220  Discord          0.0  00:30.16 32    2   493    70M   12K   26M   33220 1     sleeping *0[258]    0.00000 0.00000    502 146654    1850   446299    212957    376266   1045575   256571    2443    3336    0.0   0      0      wadkan             N/A    N/A   N/A   N/A   N/A   N/A  
30540  CMFSyncAgent     0.0  00:00.05 2     1   48     1560K 0B    1540K 30540 1     sleeping *0[2]      0.00000 0.00000    502 3457      146    204       68        767      474       1057      48      8       0.0   0      0      wadkan             N/A    N/A   N/A   N/A   N/A   N/A  
30393  java             0.0  00:18.42 24    1   105    113M  0B    112M  23855 23855 sleeping *0[1]      0.00000 0.00000    502 37575     413    3254      1606      639503   5985      371015    292     128927  0.0   0      0      wadkan             N/A    N/A   N/A   N/A   N/A   N/A  
30143  bash             0.0  00:00.14 1     0   21     1004K 0B    996K  30143 30142 sleeping *0[1]      0.00000 0.00000    502 3956      1622   154       67        15505    236       763       11      0       0.0   0      0      wadkan             N/A    N/A   N/A   N/A   N/A   N/A  
30142  login            0.0  00:00.04 2     1   30     1116K 0B    1108K 30142 30141 sleeping *0[9]      0.00000 0.00000    0   1430      190    122       30        4412     251       378       4       0       0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
30141  Terminal         0.0  00:20.15 8     1   295    48M   0B    45M   30141 1     sleeping  0[667]    0.00000 0.00000    502 330244    487    126952    27761     221242   341995    131427    1126    3496    0.0   0      0      wadkan             N/A    N/A   N/A   N/A   N/A   N/A  
29891  CoreServicesUIAg 0.0  00:00.39 3     1   146    3700K 0B    2716K 29891 1     sleeping *0[1]      0.00000 0.00000    502 12327     268    2923      604       5681     9989      8293      60      149     0.0   0      0      wadkan             N/A    N/A   N/A   N/A   N/A   N/A  
29850  nsurlstoraged    0.0  00:00.08 2     1   35     2228K 0B    2220K 29850 1     sleeping  0[0]      0.00000 0.00000    243 2254      152    129       41        705      284       586       46      3       0.0   0      0      _nsurlstoraged     N/A    N/A   N/A   N/A   N/A   N/A  
